CustomerID,CompanyName,Industry,SubscriptionPlan,MonthlyRevenue,SeatCount,TenureMonths,AvgWeeklyLogins,StorageUsedGB,SupportTicketsRaised,NPS_Score,LastLoginDaysAgo,PaymentMethod,ContractType,Cancelled,AcquisitionChannel,SalesCycleDays,InitialDiscountPct,OnboardingDays,OnboardingSatisfaction,CSM_Assigned,QBRs_Completed,LastQBR_DaysAgo,StrategicMeetings,SuccessPlanStatus,UpsellAttempts,RecentUpsellValue,SupportTier,AvgResponseTimeMins,TicketReopenRate,CSAT_Support,CommunityPosts
1001,Zero One,Technology,Enterprise,500,50,24,125,450.5,2,9,1,Invoice,Annual,0,LinkedIn Ads,45,15,14,9,Yes,4,85,6,On Track,2,1200,Gold,30,0.05,5,12
1002,MediCare Plus,Healthcare,Basic,50,5,3,10,12,5,6,15,Credit Card,Monthly,1,Organic Search,7,0,5,6,No,0,999,0,None,0,0,Bronze,240,0.2,3,0
1003,EduLearn,Education,Standard,150,20,12,45,85.2,1,8,3,Credit Card,Annual,0,Referral,20,5,10,8,Yes,1,120,2,On Track,1,500,Silver,120,0.1,4,3
1004,FinServe,Finance,Enterprise,600,65,36,150,600,0,10,0,Invoice,Annual,0,Partner,60,20,21,10,Yes,6,30,12,On Track,3,2500,Gold,15,0.02,5,8
1005,RetailHub,Retail,Standard,150,15,8,25,40.5,8,4,20,PayPal,Monthly,1,Facebook Ads,10,0,3,4,No,0,999,0,At Risk,1,0,Silver,180,0.35,2,1
1006,LogiTrack,Logistics,Basic,50,3,1,5,2,3,7,5,Credit Card,Monthly,0,Organic Search,5,0,2,7,No,0,999,0,None,0,0,Bronze,300,0.15,4,0
1007,GreenEnergy,Energy,Standard,150,25,18,60,120,2,9,2,Invoice,Annual,0,Cold Email,30,10,15,9,Yes,2,45,3,On Track,2,800,Silver,90,0.05,5,5
1008,BuildIt,Construction,Basic,50,4,5,8,15.5,1,8,4,Credit Card,Monthly,0,Referral,8,0,4,8,No,0,999,0,None,0,0,Bronze,200,0.1,4,1
1009,FoodieApp,Hospitality,Enterprise,550,55,30,140,500,4,7,1,Invoice,Annual,0,LinkedIn Ads,50,15,20,8,Yes,5,60,8,On Track,2,1500,Gold,45,0.08,4,6
1010,LegalEagle,Legal,Standard,200,10,14,30,55,6,5,12,Credit Card,Monthly,1,Webinar,25,5,12,5,No,0,999,1,At Risk,1,0,Silver,150,0.25,2,0
1011,AutoDrive,Automotive,Basic,50,6,2,12,10,0,8,6,PayPal,Monthly,0,Organic Search,6,0,3,7,No,0,999,0,None,0,0,Bronze,220,0.05,4,2
1012,CyberSecure,Technology,Enterprise,700,80,48,200,800,1,10,0,Invoice,Annual,0,Partner,90,25,30,10,Yes,8,15,15,On Track,4,5000,Gold,10,0.01,5,20
1013,HealthFirst,Healthcare,Standard,150,22,15,50,90.5,3,8,3,Credit Card,Annual,0,Referral,22,8,10,8,Yes,1,90,2,On Track,1,400,Silver,100,0.12,4,4
1014,SchoolSync,Education,Basic,50,8,4,15,18,9,2,25,Credit Card,Monthly,1,Facebook Ads,5,0,2,3,No,0,999,0,None,0,0,Bronze,400,0.4,1,0
1015,MoneyWise,Finance,Standard,180,18,20,40,75,2,9,2,Invoice,Annual,0,LinkedIn Ads,35,10,14,9,Yes,3,50,4,On Track,2,1000,Silver,80,0.06,5,7
1016,ShopifyLite,Retail,Basic,50,2,6,4,5,1,7,8,PayPal,Monthly,0,Organic Search,4,0,1,8,No,0,999,0,None,0,0,Bronze,180,0.1,4,1
1017,FastShip,Logistics,Enterprise,500,45,28,110,420,5,6,10,Invoice,Annual,1,Cold Email,40,12,18,6,Yes,4,120,5,At Risk,1,0,Gold,60,0.2,3,2
1018,SolarPower,Energy,Standard,150,30,22,70,150,0,9,1,Invoice,Annual,0,Referral,28,10,12,9,Yes,3,40,5,On Track,2,1200,Silver,95,0.04,5,6
1019,ConstructCo,Construction,Basic,50,5,3,9,12.5,4,5,18,Credit Card,Monthly,1,Facebook Ads,9,0,4,5,No,0,999,0,None,0,0,Bronze,250,0.3,2,0
