SurveyID,CustomerID,SurveyDate,NPS_Score,Feedback
S001,1001,2024-01-15,9,Great product very helpful
S002,1002,2024-01-20,6,Needs improvement in onboarding
S003,1003,2024-01-25,8,Good overall experience
S004,1004,2024-02-01,10,Excellent support team
S005,1005,2024-02-05,4,Too expensive for features
S006,1001,2024-02-10,9,Still loving the platform
S007,1006,2024-02-15,7,Basic but functional
S008,1007,2024-02-20,9,Great energy management features
S009,1008,2024-02-25,8,Does what we need
S010,1009,2024-03-01,7,Good but room for improvement
S011,1010,2024-03-05,5,Not meeting expectations
S012,1004,2024-03-10,10,Best decision we made
S013,1002,2024-03-15,5,Still struggling with features
S014,1003,2024-03-20,9,Much better after updates
S015,1001,2024-03-25,10,Highly recommend
